"Name","Description","Lat","Lon"
8,"ATM Autoservicio Yaque (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",19.45967865,-70.69283295
14,"ATM Aeropuerto Las Américas",18.43042541,-69.67662525
23,"ATM Oficina México (Abastece Oficina)",18.478424,-69.890595
26,"ATM S/M Jumbo San Isidro (Reserva Zona Metro)",18.488626,-69.832211
35,"ATM Dirección General de Aduanas I (Reserva Zona Metro)",18.481851,-69.939099
39,"ATM Oficina Ovando (Abastece Oficina)",18.466795,"-69.913270"
43,"ATM Zona Franca San Isidro (Reserva Zona Metro)",18.49853516,-69.79140472
64,"ATM COOPALINA Cotuí (Brig. San Francisco)",19.187623,-70.207845
79,"ATM UNP Luperón Puerto Plata",19.889216,-70.96374
117,"ATM Autoservicio Oficina El Seibo (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.764055,-69.036475
119,"ATM Oficina La Barranquita (Abastece Oficina)",19.440154,-70.722761
121,"ATM Oficina Bayaguana (Abastece Oficina)",18.751577,-69.636403
129,"ATM Multicentro La Sirena (Brig. Santiago)",19.45119476,-70.70468903
137,"ATM Oficina Nizao (Abastece Oficina)",18.245847,-70.20915
139,"ATM Oficina Plaza Lama Zona Oriental I (Reserva Zona Metro)",18.519437,-69.837274
149,"ATM Metro de SD concepción Bona (Reserva Zona Metro)",18.50554,-69.857812
165,"ATM Autoservicio Megacentro (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.50785637,-69.85578918
172,"ATM UNP Guaucí (Brig. La Vega)",19.420249,-70.494867
182,"ATM Barahona Comb (Reserva Zona Sur)",18.206939,-71.09269
193,"ATM Promese Cal",18.46058156,-69.95517158
211,"ATM Oficina La Romana I (Abastece Oficina)",18.425372,-68.967755
231,"ATM Autoservicio Oficina Zona Oriental (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.511903,-69.847628
235,"ATM Multicentro La Sirena San Isidro (Reserva Zona Metro)",18.485413,-69.840392
239,"ATM Autobanco Charles de Gaulle",18.504019,-69.826861
240,"ATM Oficina Carrefour I (Reserva Zona Metro)",18.48808,-69.978309
241,"ATM Palacio Nacional Presidencia (Reserva Zona Metro)",18.474534,-69.897759
264,"ATM S/M Nacional Independencia (Reserva Zona Metro)",18.431711,-69.9702
272,"ATM Cámara de Diputados (Reserva Zona Metro)",18.449545,-69.925706
277,"ATM Autoservicio Duarte Santiago (Abastece Oficina)",19.457688,-70.66944
281,"ATM S/M Pola Independencia (Reserva Zona Metro)",18.435778,-69.958101
294,"ATM Plaza Zaglul San Pedro II (Reserva Zona Este)",18.453095,-69.307593
307,"ATM Autoservicio Oficina Nagua II (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",19.376718,-69.849558
321,"ATM Oficina Jiménez Moya I (Reserva Zona Metro)",18.454538,-69.9303
325,"ATM Casa Edwin (Reserva Zona Metro)",18.526841,-69.814081
330,"ATM Autoservicio Oficina Boulevard Higuey (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.612209,-68.714742
346,"ATM Ministerio de Industria y Comercio (Reserva Zona Metro)",18.500193,-69.888473
347,"ATM Oficina Patio de Colombia (Abastece Oficina)",18.507788,-69.984291
355,"ATM Autoservicio Metro II (Reserva Zona Metro)",18.481441,-69.914676
366,"ATM Oficina Boulevard II Higuey (Abastece Ofiicina)",19.40443,-69.8497
367,"ATM Ayuntamiento El Puerto",18.762924,-69.469806
388,"ATM Multicentro La Sirena Puerto Plata (Brig. Puerto Plata)",19.795853,-70.684797
390,"ATM Oficina Boca Chica II (Abastece Oficina)",18.44845,-69.606449
496,"ATM Multicentro La Sirena Bonao (Brig. La Vega)",18.94237,-70.396859
498,"ATM Estación Sunix 27 de Febrero (Reserva Zona Metro)",18.468413,-69.924211
499,"ATM Estación Sunix Tiradentes (Reserva Zona Metro)",18.47174454,-69.92562103
501,"ATM UNP La Canela (Abastece Oficina)",19.472614,-70.815806
504,"ATM Oficina Plaza Moderna (Abastece Oficina)",18.498976,-69.787166
511,"ATM UNP Río San Juan Nagua",19.644741,-70.075036
512,"ATM Plaza Jesus Ferreira Municipio Guerra (Provincia Santo Domingo) (Reserva Zona Metro)",18.557709,-69.70116
515,"ATM Oficina Agora Mall I (Reserva Zona Metro)",18.483757,-69.939851
517,"ATM Autobanco Oficina Sans Soucí (Reserva Zona Metro)",18.475265,-69.87551
532,"ATM UNP Guanábano Moca (Brig. La Vega)",19.344678,-70.484373
549,"ATM Ministerio de Turismo (Reserva Zona Metro)",18.47658348,-69.89767456
562,"ATM S/M Jumbo Carretera Mella (Reserva Zona Metro)",18.521325,-69.832797
564,"ATM Ministerio de Agricultura (Reserva Zona Metro)",18.48379326,-69.95215607
573,"ATM IDSS (Reserva Zona Metro)",18.48584366,-69.92521667
576,"ATM Oficina Nizao II (Abastece Oficina)",18.245847,-70.209152
579,"ATM Estación Sunix Down Town (Reserva Zona Este)",18.635151,-68.396851
580,"ATM Edificio Propagas (Reserva Zona Metro)",18.544886,-69.952767
592,"ATM Centro de Caja San Cristóbal I (Reserva Zona Metro)",18.416935,-70.111453
594,"ATM Plaza Venezuela II (Brig. Santiago)",19.485804,-70.711784
595,"ATM S/M Central I (Brig. Santiago)",19.460539,-70.687055
610,"ATM EDEESTE (Reserva Zona Metro)",18.498305,-69.865681
623,"ATM Operaciones Especiales (Reserva Zona Metro)",18.478978,-70.012501
628,"ATM Autobanco San Isidro Fuerza Aérea",18.525734,-69.772591
634,"ATM PBG Ayuntamiento Los Llanos San Pedro de Macorís (Reserva Zona Este)",18.620557,-69.495492
637,"ATM UNP Monción (Abastece Oficina)",19.410803,-71.150809
638,"ATM Oficina S/M Yoma",19.299317,-70.253166
639,"ATM Comisión Militar y Policial (Reserva Zona Metro)",18.474756,-69.907622
680,"ATM Hotel Royalton I (Reserva Zona Este)",18.732933,-68.468732
681,"ATM Hotel Royalton II (Reserva Zona Este)",18.732933,-68.468732
686,"ATM Autoservicio Oficina Máximo Gómez (Abastece Oficina) (ATM DEPOSITOS 1 MODULO)",18.460819,-69.908145
742,"ATM Oficina Plaza Orense (La Romana)",18.44749,-68.971539
755,"ATM Oficina Galería del Este",18.499414,-69.852952
815,"ATM Oficina Atalaya del Mar (Reserva Zona Metro)",18.429157,-69.981068
818,"ATM Jurisdicción Inmobiliaria (Reserva Zona Metro)",18.451199,-69.928401
820,"ATM Estadio Quisquella",18.492334,-69.851218
829,"ATM Autoservicio Multicentro La Sirena Baní (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.280484,-70.34091
838,"ATM UNP Consuelo (Reserva Zona Este)",18.556651,-69.299732
842,"ATM Plaza Orense II La Romana (Reserva Zona Este)",18.424976,-68.966412
843,"ATM Oficina Romana Centro (Reserva Zona Este)",18.53531,-69.992669
858,"ATM Cooperativa Maestros COOPNAMA (Reserva Zona Metro)",18.48004,-69.911877
859,"ATM Hotel Vista Sol Punta Cana (Reserva Zona Este)",18.689213,-68.422087
909,"ATM UNP UASD (Reserva Zona Metro)",18.459746,-69.917903
946,"ATM Autoservicio Oficina Nuñez de Caceres I (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.459552,-69.957566
957,"ATM Oficina Venezuela (Abastece Oficina)",18.496966,-69.868772
963,"ATM Oficina Multiplaza La Romana",18.433064,-68.993495
965,"ATM S/M La Fuente FUN (Abastece Oficina)",19.43043,-70.690449
967,"ATM Hiper Olé Aut. Duarte II (Reserva Zona Metro)",18.533675,-70.011964
968,"ATM UNP El Mercado Baní (Abastece Oficina)",18.280172,-70.337828
973,"ATM Oficina Sabana de la Mar (Abastece Oficiina)",19.064795,-69.384598
994,"ATM Telemicro (Reservas Zona Metro)",18.471081,-69.893169
2,"ATM Autoservicio Padre Castellanos (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.46188354,-69.93611145
4,"ATM Ave. Rivas (Brig. La Vega)",19.225075,-70.513438
6,"ATM Plaza Wao San Juan",18.807712,-71.22507
9,"ATM Hispaniola Fresh Fruit",19.734243,-71.420071
12,"ATM Comercial Ganadera San Isidro (Reserva Zona Metro)",18.491849,-69.816399
13,"ATM CDEEE (Reserva Zona Metro)",18.45021629,-69.92855072
16,"ATM Texaco Sabana de la Mar",19.049709,-69.38838
19,"ATM Ofic. Anthonys Luperon",18.4602733,-69.9689401
22,"ATM S/M Olímpico (Brig. Santiago)",19.436201,-70.688485
24,"ATM Oficina Eusebio Manzueta (Abastece Oficina)",18.486482,-69.902376
31,"ATM Oficina San Martín I (Reservas Zona Metro)",18.482723,-69.909148
32,"ATM Oficina San Martín II (Reserva Zona Metro)",18.482775,-69.909124
33,"ATM UNP Juan de Herrera (Abastece Oficina)",18.87262,-71.239052
40,"ATM Oficina El Puñal",19.40295219,-70.60344696
45,"ATM Oficina Tamayo (Reserva Zona Sur)",18.393711,-71.20535
50,"ATM Oficina Padre Las Casas Azua (Abastece Oficina)",18.734779,-70.942644
52,"ATM Autoservicio Oficina Jarabacoa (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",19.121823,-70.641971
57,"ATM Oficina Malecon Center (Reserva Zona Metro)",18.4583,-69.908775
62,"ATM Oficina Dajabón (Abastece Oficina)",19.549589,-71.706429
63,"ATM Oficina Villa Vásquez Montecristi (Abastece Oficina)",19.73769,-71.447949
67,"ATM Hotel Natural Park Punta Cana (Reserva Zona Este)",18.652009,-68.366389
68,"ATM Hotel Nickelodeon Punta Cana (Reserva Zona Este)",18.800957,-68.576482
70,"ATM Autoservicio Plaza Lama Zona Oriental (Reserva Zona Metro)(ATM DEPOSITOS 1 MODULO)",18.519009,-69.837133
75,"ATM Oficina Gaspar Hernández (Abastece Oficina)",19.625352,-70.277762
77,"ATM Oficina Cruce de Imbert (Abastece Oficina)",19.755883,-70.832843
78,"ATM Hotel Nickelodeon II Punta Cana (Reserva Zona Este)",18.800957,-68.576486
85,"ATM Oficina San Isidro Fuerza Aérea (Abastece Oficina)",18.525733,-69.772619
87,"ATM Autoservicio Oficina Sarasota (Reserva Zona Metro) (ATM DEPOSITOS 1 MODULO)",18.451137,-69.947836
88,"ATM S/M La Fuente (Brig. Santiago)",19.430363,-70.690447
89,"ATM UNP El Cercado San Juan (Abastece Oficina)",18.729318,-71.519735
91,"ATM UNP Villa Isabela",19.822578,-71.05623
93,"ATM Oficina Cotuí (Abastece Oficina)",19.058022,-70.153757
94,"ATM Centro de Caja Porvenir (Brig. San Francisco)",19.297773,-70.255597
95,"ATM Oficina Tenares (Abastece Oficina)",19.372669,-70.351473
96,"ATM S/M Caribe Charles (Reserva Zona Metro)",18.519203,-69.834409
97,"ATM Oficina Villa Riva (Abastece Oficina)",19.179993,-69.91153
101,"ATM Autoservicio San Juan de la Maguana I (Abastece Oficina)",18.806306,-71.230308
104,"ATM Jumbo Higuey (Reserva Zona Este)",18.618349,-68.724199
114,"ATM Autoservicio Oficina Hato Mayor (ATM DEPOSITOS 2 MODULOS) (Abastece Oficina)",18.7638,-69.254204
125,"ATM Dirección General de Aduanas II (Reserva Zona Metro)",18.482085,-69.939078
134,"ATM Oficina San José de Ocoa (Abastece Oficina)",18.547204,-70.507102
135,"ATM Oficina Las Dunas Baní (Abastece Oficina)",18.276136,-70.332771
136,"ATM S/M Xtra Santiago (Brig. Santiago)",19.466634,-70.662479
138,"ATM UNP Fantino (Abastece Oficina)",19.123504,-70.302218
142,"ATM Centro de Caja Galerías Bonao (Abastece Ofiicna)",18.939832,-70.394354
144,"ATM Oficina Villa Altagracia (Abastece Ofiicna)",18.669277,-70.1738
147,"ATM Kiosco Megacentro I (Reserva Zona Metro)",18.506051,-69.856397
151,"ATM Oficina Nagua (Abastece Oficina)",19.376718,-69.849556
152,"ATM Kiosco Megacentro II (Reserva Zona Metro)",18.506051,-69.856367
157,"ATM Oficina Samaná (Abastece Oficina)",19.203925,-69.332568
158,"ATM Autoservicio Oficina Romana Norte (Reserva Zona Este)(ATM DEPOSITOS 2 MODULOS)",18.431512,-68.973057
159,"ATM Hotel Dreams Bayahibe (Reserva Zona Este)",18.34559,-68.819641
160,"ATM Oficina Herrera (Abastece Oficina)",18.477782,-69.975202
169,"ATM Oficina Caonabo (Reserva Zona Metro)",18.450041,-69.968427
171,"ATM Autoservicio Oficina Moca (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",19.39625,-70.527189
175,"ATM Dirección de Ingeniería (Reserva Zona Metro)",18.47358704,-69.94449617
180,"ATM Oficina Megacentro II (Reservas Zona Metro)",18.50785,-69.855817
181,"ATM Oficina Sabaneta (Abastece Oficina)",19.476443,-71.343812
188,"ATM UNP Miches (Abastece Oficina)",18.984644,-69.048613
189,"ATM Comando Regional Cibao Central P.N.",19.463313,-70.696727
194,"ATM UNP Pantoja (Abastece Oficina)",18.535307,-69.992647
198,"ATM Almacenes El Encanto Santiago",19.452689,-70.702877
204,"ATM Hotel Dreams Dominicus II (Reserva Zona Este)",18.376437,-68.844579
212,"ATM Universidad Nacional Evangélica (Reserva Zona Metro)",18.479274,-69.910459
214,"ATM S/M Olé Bávaro",18.60942,-68.41272
217,"ATM Oficina Bávaro (Abastece Oficina)",18.685159,-68.453218
219,"ATM Autoservicio Oficina La Altagracia Higuey (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.605747,-68.713852
225,"ATM S/M Nacional Arroyo Hondo (Reserva Zona Metro)",18.501926,-69.943108
227,"ATM S/M Bravo Av. Enriquillo (Reserva Zona Metro)",18.442596,-69.969908
228,"ATM Oficina SAJOMA (Abastece Oficina)",19.338091,-70.94142
232,"ATM S/M Nacional Charles de Gaulle (Reserva Zona Metro)",18.513365,-69.831095
234,"ATM Oficina Boca Chica I (Abastece Oficina)",18.448452,-69.606425
237,"ATM UNP Plaza Vásquez (Reserva Zona Metro)",18.499453,-69.852916
243,"ATM Autoservicio Plaza Central (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.464187,-69.935394
244,"ATM Ministerio de Hacienda  Finanzas (Reserva Zona Metro)",18.474434,-69.905193
249,"ATM Banco Agricola Neiba (Reserva Zona Sur)",18.491197,-71.420868
252,"ATM Banco Agrícola Barahona (Reserva Zona Sur)",18.206992,-71.095271
256,"ATM Oficina Licey Al Medio (Abastece Oficina)",19.428948,-70.598136
257,"ATM S/M Pola Santiago (Brig. Santiago)",19.458187,-70.701488
266,"ATM Oficina Villa Francisca (Abastece Oficina)",18.480949,-69.890255
268,"ATM Autobanco Oficina La Altagracia (Abastece Oficina)",18.605747,-68.713854
276,"ATM UNP Las Guáranas (Brig. San Francisco)",19.189386,-70.208753
282,"ATM Autobanco Nibaje)",19.443093,-70.701296
283,"ATM Oficina Nibaje (Abastece Oficina)",19.4431,-70.701434
285,"ATM Oficina Camino Real Puerto Plata (Abastece Oficina)",19.793208,-70.696242
288,"ATM Oficina Camino Real II Puerto Plata (Abastece Oficina)",19.793217,-70.696199
289,"ATM Oficina Bávaro II (Abastece Oficina)",18.612934,-68.719345
290,"ATM Oficina San Francisco de Macorís (Abastece Oficina)",19.297963,-70.258353
291,"ATM Autoservicio S/M Jumbo Las Colinas (Brig. Santiago)(ATM DEPOSITOS 2 MODULOS)",19.473119,-70.713945
293,"ATM S/M Nueva Visión San Pedro (Reserva Zona Este)",18.463452,-69.297369
297,"ATM S/M La Cadena Ocoa (Abastece Oficina)",18.546914,-70.506023
298,"ATM UNP Aprezio Engombe (Reserva Zona Metro)",18.456813,-69.999697
299,"ATM S/M Aprezio Cotui",19.050802,-70.146516
300,"ATM S/M Aprezio Los Guaricanos (Reserva Zona Metro)",18.538534,-69.935081
301,"ATM UNP Alfa y Omega Barahona (Abastece Oficina)",18.214928,-71.112635
304,"ATM Autoservicio Multicentro La Sirena Estrella Sadhala (ATM DEPOSITOS 2 MODULOS)",19.484685,-70.709217
309,"ATM Secrets Cap Cana I (Reserva Zona Este)",18.48476,-68.39652
310,"ATM Farmacia San Judas Tadeo Jarabacoa",18.468775,-69.894147
311,"ATM Plaza Eroski (Reserva Zona Sur)",17.991286,-71.166651
312,"ATM Autoservicio Tiradentes II Naco (Reserva Zona Metro)(ATM DEPOSITOS 2 MODULOS)",18.477925,-69.927996
315,"ATM Oficina Estrella Sadhalá (Brig. Santiago)",19.473398,-70.694187
318,"ATM Autoservicio Lope de Vega  (Reserva Zona Metro)(ATM DEPOSITOS 1 MODULO)",18.479947,-69.9307188
319,"ATM Autobanco oficina Lope de Vega I (Reserva Zona Metro)",18.479947,-69.9307192
320,"ATM Hotel Dreams Uvero Alto (Reserva Zona Este)",18.802314,-68.575848
327,"ATM UNP S/M Nacional 27 de Febrero (Reserva Zona Metro)",18.465341,-69.929145
333,"ATM Oficina Turey Maimón (Abastece Oficina)",18.90777,-70.278141
335,"ATM Edificio Aster",18.494232,-69.86449
337,"ATM S/M Cooperativo Moca",19.393692,-70.527797
338,"ATM S/M Aprezio Pantoja (Reserva Zona Metro)",18.529865,-69.99758
342,"ATM Autoservicio Oficina Obras Públicas Azua (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.450691,-70.726585
345,"ATM Ofic. Yamasa II (Abastece Oficina)",18.7673,-70.024385
348,"ATM Oficina Las Terrenas II (Abastece Oficina)",19.319626,-69.539016
349,"ATM SENASA",18.4683977,-69.9241139
351,"ATM S/M Jose Luis (Brig. Puerto Plata)",19.793861,-70.685814
353,"ATM Estación Boulevard Juan Dolio (Reserva Zona Este)",18.425555,-69.430752
354,"ATM Oficina Nuñez de Caceres II (Abastece Oficina)",18.459552,-69.95774
356,"ATM Estación Sigma San Cristóbal (Reserva Zona Metro)",18.40749,-70.132274
357,"ATM Universidad Nacional Evangélica (Brig. Santiago)",19.479484,-70.703465
358,"ATM Ayuntamiento Cevico",19.005941,-69.979592
359,"ATM S/M Bravo Ozama (Reserva Zona Metro)",18.495511,-69.862259
361,"ATM Estación Next La Cumbre (Doña Pula)",18.793627,-70.270726
363,"ATM S/M Bravo Villa Mella",18.522685,-69.917569
365,"ATM Centro Medico de Diabetes, Obesidad y Endocrinología (CEMDOE)",18.474559,-69.96765
373,"ATM S/M Tangui Nagua (Brig. Nagua)",19.376002,-69.85448
375,"ATM Base Naval Las Calderas (BANI)",18.214411,-70.514612
376,"ATM Autoservicio Dual Blue Mall III (ATM DEPOSITOS)",18.47269058,-69.94106295
377,"ATM Estación del Metro Eduardo Brito (Reserva Zona Metro)",18.503421,-69.884274
380,"ATM Oficina Navarrete (Abastece Oficina)",19.56127,-70.874932
382,"ATM Estación del Metro Maria Montes",18.478179,-69.968189
385,"ATM Plaza Verón I (Reserva Zona Este) (Abastece Oficina)",18.599938,-68.417806
386,"ATM Plaza Verón II (Abastece Oficina)",18.599937,-68.417782
394,"ATM Multicentro La Sirena Luperón (Reserva Zona Metro)",18.466415,-69.969639
395,"ATM UNP Sabana Iglesia (Abastece Oficina)",19.321649,-70.753794
396,"ATM Oficina Plaza Ulloa La Fuente (Abastece Oficina)",19.429833,-70.690347
399,"ATM Oficina La Romana II (Abastece Oficina)",18.425374,-68.967731
402,"ATM Multicentro La Sirena La Vega (Brig. La Vega)",19.225284,-70.517336
403,"ATM Oficina Vicente Noble (Reserva Zona Sur)",18.383935,-71.179711
407,"ATM Multicentro La Sirena Villa Mella (Reserva Zona Metro)",18.544638,-69.899624
408,"ATM Autobanco Las Palmas de Herrera (Reserva Zona Metro)",18.477741,-69.975116
409,"ATM Oficina Las Palmas de Herrera I (Abastece Oficina)",18.47776,-69.975132
410,"ATM Autoservicio Las Palmas de Herrera II (Abastece Oficina) (ATM DEPOSITOS 2 MODULOS)",18.47776,-69.975103
411,"ATM UNP Piedra Blanca Bonao (Abastece Oficina)",18.84578,-70.316721
413,"ATM UNP Las Galeras Samaná",19.288546,-69.199979
414,"ATM Oficina Villa Francisca II (Abastece Oficina)",18.480949,-69.890257
