__Server,DNS Name,Función,IP Address,Soporte OS,Soporte Aplicaciones
CanjeStgoDC,canjestgodc.canje.com,Controlador dominio Canje.com santiago,172.31.10.1,GSSD - Aplicaciones,Ciberseguridad
S_ALMACEN,S_ALMACEN.reservas.brrd.com,App FileMaker Pro y File Server Almacen,192.168.28.191,GSSD - Aplicaciones,GSSD - Aplicaciones
s010parqueappdb,s010parqueappdb.reservas.brrd.com,App/DB Server Parqueo,172.22.24.61.1,GSSD - Aplicaciones,GSSD - Aplicaciones
S460-ARSApp01,S460-ARSApp01.canje.com,Filial ARS - Core Saludcore y Sial sitio primario,172.22.43.146,GSSD - Aplicaciones,Filial ARS Reservas
S460-ARSApp02,S460-ARSApp02.canje.com,Filial ARS - Core Saludcore y Sial sitio alterno,172.22.43.163,GSSD - Aplicaciones,Filial ARS Reservas
S460-Digit02,S460-Digit02,Aquarius - Digitalizacion,172.22.43.50,GSSD - Aplicaciones,GSSD - Aplicaciones
S460SSPRO,S460SSPRO.reservas.brrd.com,SmartStream App y Base de Datos,172.22.46.92,GSSD - Aplicaciones,GSSD - Aplicaciones
S460SSWEB,S460SSWEB.reservas.brrd.com,SmartStream Web,172.22.46.91,GSSD - Aplicaciones,GSSD - Aplicaciones
admintools,admintools,Admin Tools Equipos Bull,172.22.33.40,GSSD - Aplicaciones,GSAH
apptoken,apptoken.extranet.brrd.com,Token de Banca Empresa App (Safeworld),10.0.98.26,GSSD - Aplicaciones,Ciberseguridad
BR-SmartEvent01,BR-SmartEvent01,Servidor de Seguridad - recolector de logs de los Firewall,172.22.61.205,GSSD - Aplicaciones,Ciberseguridad
BS-DC02,BS-DC02.bancasolidaria.local,Filial Promipyme - Controlador Dominio,10.45.45.58,GSSD - Aplicaciones,Ciberseguridad
BS-DC03,BS-DC03.bancasolidaria.local,Filial Promipyme - Controlador Dominio,10.45.45.58,GSSD - Aplicaciones,Ciberseguridad
BULL_HAA_231,0,Consola Administracion Equipos Bullion,10.0.97.65,GSSD - Aplicaciones,GSAH
CanjeDC1,CanjeDC1.canje.com,Controlador de Dominio CANJE,172.22.119.1,GSSD - Aplicaciones,Ciberseguridad
